state,area (sq. mi),description,latitude,longitude,CENSUS2010POP,POPESTIMATE2019,POPESTIMATE2020
Alabama,52423,Montgomery,32.377716,-86.300568,4779736,4907965,4921532
Alaska,656425,Juneau,58.301598,-134.420212,710231,733603,731158
Arizona,114006,Phoenix,33.448143,-112.096962,6392017,7291843,7421401
Arkansas,53182,Little Rock,34.746613,-92.288986,2915918,3020985,3030522
California,163707,Sacramento,38.576668,-121.493629,37253956,39437610,39368078
Colorado,104100,Denver,39.739227,-104.984856,5029196,5758486,5807719
Connecticut,5544,Hartford<br>,41.764046,-72.682198,3574097,3566022,3557006
Delaware,1954,Dover,39.157307,-75.519722,897934,976668,986809
Florida,65758,Honolulu,21.307442,-157.857376,601723,708253,712816
Georgia,59441,Tallahassee,30.438118,-84.281296,18801310,21492056,21733312
Hawaii,10932,Atlanta<br>,33.749027,-84.388229,9687653,10628020,10710017
Idaho,83574,Boise,43.617775,-116.199722,1360301,1415615,1407006
Illinois,57918,Springfield,39.798363,-89.654961,1567582,1789060,1826913
Indiana,36420,Indianapolis,39.768623,-86.162643,12830632,12667017,12587530
Iowa,56276,Des Moines,41.591087,-93.603729,6483802,6731010,6754953
Kansas,82282,Topeka,39.048191,-95.677956,3046355,3159596,3163561
Kentucky,40411,Frankfort,38.186722,-84.875374,2853118,2912635,2913805
Louisiana,51843,Baton Rouge,30.457069,-91.187393,4339367,4472345,4477251
Maine,35387,Augusta,44.307167,-69.781693,4533372,4658285,4645318
Maryland,12407,Annapolis,38.978764,-76.490936,1328361,1345770,1350141
Massachusetts,10555,Boston,42.358162,-71.063698,5773552,6054954,6055802
Michigan,96810,Lansing,42.733635,-84.555328,6547629,6894883,6893574
Minnesota,86943,St. Paul,44.955097,-93.102211,9883640,9984795,9966555
Mississippi,48434,Jackson,32.303848,-90.182106,5303925,5640053,5657342
Missouri,69709,Jefferson City,38.579201,-92.172935,2967297,2978227,2966786
Montana,147046,Helena,46.585709,-112.018417,5988927,6140475,6151548
Nebraska,77358,Lincoln,40.808075,-96.699654,989415,1070123,1080577
Nevada,110567,Carson City,39.163914,-119.766121,1826341,1932571,1937552
New Hampshire,9351,Concord,43.206898,-71.537994,2700551,3090771,3138259
New Jersey,8722,Trenton,40.220596,-74.769913,1316470,1360783,1366275
New Mexico,121593,Santa Fe,35.68224,-105.939728,8791894,8891258,8882371
New York,54475,Raleigh,35.78043,-78.639099,2059179,2099634,2106319
North Carolina,53821,Bismarck,46.82085,-100.783318,19378102,19463131,19336776
North Dakota,70704,Albany,42.652843,-73.757874,9535483,10501384,10600823
Ohio,44828,Columbus,39.961346,-82.999069,672591,763724,765309
Oklahoma,69903,Oklahoma City,35.492207,-97.503342,11536504,11696507,11693217
Oregon,98386,Salem,44.938461,-123.030403,3751351,3960676,3980783
Pennsylvania,46058,Harrisburg,40.264378,-76.883598,3831074,4216116,4241507
Rhode Island,1545,Providence,41.830914,-71.414963,12702379,12798883,12783254
South Carolina,32007,Columbia,34.000343,-81.033211,1052567,1058158,1057125
South Dakota,77121,Pierre,44.367031,-100.346405,4625364,5157702,5218040
Tennessee,42146,Nashville,36.16581,-86.784241,814180,887127,892717
Texas,268601,Austin,30.27467,-97.740349,6346105,6830325,6886834
Utah,84904,Salt Lake City,40.777477,-111.888237,25145561,28986794,29360759
Vermont,9615,Montpelier,44.262436,-72.580536,2763885,3203383,3249879
Virginia,42769,Richmond,37.538857,-77.43364,625741,624046,623347
Washington,71303,Olympia,47.035805,-122.905014,8001024,8556642,8590563
West Virginia,24231,Charleston,38.336246,-81.612328,6724540,7614024,7693612
Wisconsin,65503,Madison,43.074684,-89.384445,1852994,1795263,1784787
Wyoming,97818,Cheyenne,41.140259,-104.820236,5686986,5824581,5832655
,,,,,,,
,,,,,,,
,,,,,,,